"fecha","compra","venta"
2025-01-01,3.758,3.77
2025-01-02,3.758,3.77
2025-01-03,3.746,3.759
2025-01-04,3.754,3.76
2025-01-05,3.754,3.76
2025-01-06,3.754,3.76
2025-01-07,3.758,3.767
2025-01-08,3.767,3.772
2025-01-09,3.776,3.783
2025-01-10,3.765,3.769
2025-01-11,3.762,3.769
2025-01-12,3.762,3.769
2025-01-13,3.762,3.769
2025-01-14,3.774,3.785
2025-01-15,3.773,3.778
2025-01-16,3.761,3.768
2025-01-17,3.764,3.769
2025-01-18,3.743,3.752
2025-01-19,3.743,3.752
2025-01-20,3.743,3.752
2025-01-21,3.728,3.742
2025-01-22,3.727,3.735
2025-01-23,3.718,3.724
2025-01-24,3.71,3.717
2025-01-25,3.706,3.716
2025-01-26,3.706,3.716
2025-01-27,3.706,3.716
2025-01-28,3.735,3.742
2025-01-29,3.737,3.743
2025-01-30,3.721,3.728
2025-01-31,3.712,3.72
2025-02-01,3.715,3.728
2025-02-02,3.715,3.728
2025-02-03,3.715,3.728
2025-02-04,3.713,3.722
2025-02-05,3.701,3.712
2025-02-06,3.712,3.72
2025-02-07,3.708,3.715
2025-02-08,3.709,3.718
2025-02-09,3.709,3.718
2025-02-10,3.709,3.718
2025-02-11,3.707,3.719
2025-02-12,3.708,3.714
2025-02-13,3.709,3.714
2025-02-14,3.714,3.719
2025-02-15,3.702,3.712
2025-02-16,3.702,3.712
2025-02-17,3.702,3.712
2025-02-18,3.693,3.708
2025-02-19,3.683,3.695
2025-02-20,3.68,3.69
2025-02-21,3.681,3.687
2025-02-22,3.674,3.683
2025-02-23,3.674,3.683
2025-02-24,3.674,3.683
2025-02-25,3.68,3.689
2025-02-26,3.678,3.686
2025-02-27,3.676,3.681
2025-02-28,3.668,3.674
2025-03-01,3.671,3.683
2025-03-02,3.671,3.683
2025-03-03,3.671,3.683
2025-03-04,3.678,3.691
2025-03-05,3.687,3.693
2025-03-06,3.657,3.663
2025-03-07,3.646,3.651
2025-03-08,3.654,3.659
2025-03-09,3.654,3.659
2025-03-10,3.654,3.659
2025-03-11,3.655,3.669
2025-03-12,3.664,3.67
2025-03-13,3.658,3.667
2025-03-14,3.663,3.67
2025-03-15,3.653,3.663
2025-03-16,3.653,3.663
2025-03-17,3.653,3.663
2025-03-18,3.642,3.655
2025-03-19,3.633,3.641
2025-03-20,3.616,3.626
2025-03-21,3.62,3.627
2025-03-22,3.628,3.641
2025-03-23,3.628,3.641
2025-03-24,3.628,3.641
2025-03-25,3.635,3.648
2025-03-26,3.634,3.644
2025-03-27,3.636,3.643
2025-03-28,3.642,3.649
2025-03-29,3.647,3.654
2025-03-30,3.647,3.654
2025-03-31,3.647,3.654
2025-04-01,3.66,3.677
2025-04-02,3.667,3.676
2025-04-03,3.671,3.68
2025-04-04,3.662,3.667
2025-04-05,3.686,3.691
2025-04-06,3.686,3.691
2025-04-07,3.686,3.691
2025-04-08,3.696,3.705
2025-04-09,3.728,3.732
2025-04-10,3.741,3.748
2025-04-11,3.725,3.734
2025-04-12,3.724,3.732
2025-04-13,3.724,3.732
2025-04-14,3.724,3.732
2025-04-15,3.724,3.734
2025-04-16,3.739,3.75
2025-04-17,3.728,3.737
2025-04-18,3.728,3.737
2025-04-19,3.728,3.737
2025-04-20,3.728,3.737
2025-04-21,3.728,3.737
2025-04-22,3.703,3.715
2025-04-23,3.689,3.699
2025-04-24,3.691,3.7
2025-04-25,3.675,3.683
2025-04-26,3.662,3.672
2025-04-27,3.662,3.672
2025-04-28,3.662,3.672
2025-04-29,3.663,3.672
2025-04-30,3.665,3.673
2025-05-01,3.671,3.678
2025-05-02,3.671,3.678
2025-05-03,3.651,3.665
2025-05-04,3.651,3.665
2025-05-05,3.651,3.665
2025-05-06,3.65,3.662
2025-05-07,3.653,3.663
2025-05-08,3.65,3.658
2025-05-09,3.637,3.646
2025-05-10,3.635,3.645
2025-05-11,3.635,3.645
2025-05-12,3.635,3.645
2025-05-13,3.652,3.662
2025-05-14,3.651,3.659
2025-05-15,3.675,3.682
2025-05-16,3.676,3.686
2025-05-17,3.69,3.696
2025-05-18,3.69,3.696
